Model,Accuracy,CV_Score,ROC_AUC
Gradient Boosting,0.8717948717948718,0.8787234042553191,0.9411764705882353
SVM,0.8846153846153846,0.9046253469010175,0.9426470588235294
Decision Tree,0.8974358974358975,0.8875115633672526,0.8558823529411764
Neural Network,0.8974358974358975,0.9089731729879741,0.8735294117647059
KNN,0.8974358974358975,0.9089731729879741,0.9205882352941176
Logistic Regression,0.9102564102564102,0.9348751156336725,0.9500000000000001
Random Forest,0.9230769230769231,0.9133209990749306,0.9610294117647059
